"Foreign banknotes exchange rate "
"Rates in dirhams"
Currencies;"Purchase from customers";"Sale to customers"
"1 EURO";10.1544;11.8010
"1 US  DOLLAR";8.90270;10.3463
"1 CANADIAN DOLLAR";6.25810;7.27290
"1 POUND STERLING";11.7910;13.7030
"1 SWISS FRANC";11.0110;12.7970
"100 JAPANESE YEN";5.49010;6.38030
"1 KUWAITI DINAR";28.7280;33.3860
"1 SAUDI RIYAL";2.37040;2.75480
"1 UAE DIRHAM";2.42380;2.81680
"1 BAHREINI DINAR";23.6140;27.4440
"1 GIBRALTAR POUND";11.7910;13.7030
"1 OMANI RIAL";23.1240;26.8740
"1 QATARI RIYAL";2.44190;2.83790
